,quant,hybrid
2026-03-22,-0.005503972316754813,-0.005503972316754924
2026-03-23,0.017239579692547524,0.017239579692547524
2026-03-24,0.0005996667527601307,0.0005996667527601307
2026-03-25,-0.0010999586228208624,-0.0010999586228209735
2026-03-26,0.0035139343884464935,0.0035139343884464935
2026-03-27,0.005038253874807053,0.005038253874807053
2026-03-28,-0.00020632043082335905,-0.00020632043082335905
2026-03-29,0.0007567799040206769,0.0007567799040206769
2026-03-30,-0.003397086675036909,-0.00339708667503702
2026-03-31,-0.006237368160074808,-0.006237368160074697
2026-04-01,-0.0013251163772284302,-0.0013251163772284302
2026-04-02,-0.0032638489676440896,-0.0032638489676442006
2026-04-03,-0.00014432334591230056,-0.00016454277809441198
2026-04-04,0.00022715480560409063,0.0002284688271065871
2026-04-05,-6.328320510429197e-05,-6.550133208238496e-05
2026-04-06,0.0,0.0
2026-04-07,0.03161217579957509,0.02940019136851668
2026-04-08,-0.011683067443066686,-0.012609579179227115
2026-04-09,-0.0001077519543365435,-0.0005406628349043929
2026-04-10,0.012776503209711354,0.006881720480871989
2026-04-11,0.009031275265198424,0.0025188198524843664
2026-04-12,-0.021247821270121037,-0.010999630342234834
2026-04-13,0.04173776299482457,0.018310332534067886
2026-04-14,0.0025362225290113116,0.002636630191392486
2026-04-15,-0.0030408798643991597,-0.0027215874786372662
2026-04-16,0.0008672169095913507,0.0007361001726828853
2026-04-17,-0.0076042036575748595,-0.006815468643095124
2026-04-18,0.0,0.0
2026-04-19,0.0,0.0
2026-04-20,0.0,0.0
2026-04-21,0.0002810680435088031,0.00016308144560328586
2026-04-22,0.001417171037886522,0.0007686128098576273
2026-04-23,-0.0013377862651648975,-0.0012853749754156985
2026-04-24,-0.0004888536854151804,-0.0005380588067509517
2026-04-25,0.00011757259716849155,3.930348024772101e-05
2026-04-26,0.0015144805510023396,0.001332978307917676
2026-04-27,-0.002001493398399945,-0.001865134266302415
2026-04-28,-0.0004626640622575895,-0.000430277577899596
2026-04-29,0.0030542357049445634,0.0008492741911496626
2026-04-30,-0.0016042074411926066,-0.0017761798426022546
2026-05-01,-0.00864971524003122,-0.00834697520663008
2026-05-02,-0.0025698484160637802,-0.0022902798138401126
2026-05-03,-0.0006154800433535446,-0.0007624619684640788
2026-05-04,-0.0038170269710108284,-0.003608630521156897
2026-05-05,0.0009986226797442654,0.0011379289703428164
2026-05-06,-0.0011289718619105216,-0.0012343213830864341
2026-05-07,-0.006446051957484378,-0.007136044313932555
2026-05-08,-0.0011058935426979666,-0.0011712090354496496
2026-05-09,0.000734314595348895,0.0007086345225062463
2026-05-10,0.0045428366908977225,0.004843044343681102
2026-05-11,-0.0033926991944851492,-0.0021526618461634728
2026-05-12,-0.00702519959931136,-0.007405701833311129
2026-05-13,0.004501100491022925,0.0041501500881107045
2026-05-14,-0.01030808012952289,-0.009586514520456335
2026-05-15,0.02335897380667107,0.024799846618366983
2026-05-16,0.017895269132140124,0.012395837652566355
2026-05-17,0.020744456293178448,0.01958065082571414
2026-05-18,0.00012132489816685244,-0.00021622454982517247
2026-05-19,0.0075719094316308855,0.004348890304207487
2026-05-20,-0.00108179664020025,-0.0005963829408199839
2026-05-21,9.249202575101201e-05,6.830455341799713e-05
