engine,sl,ee,tp,is_sr,oos_sr,is_dd,oos_dd,is_calmar,oos_calmar,is_ret,oos_ret
close_only,0.03,1.0,0.01,3.30362701318424,2.929943732039638,0.0355366574279314,0.0448308454411487,11.082445272247057,6.361533654748768,3.5449844429235142,0.593564890820282
close_only,0.03,1.0,0.02,3.3398217794642977,2.9697098658229133,0.0354382314784179,0.0448216870734441,11.271014933692015,6.462984350827086,3.628716400070039,0.6039172441742509
close_only,0.03,1.0,0.03,3.3653646802092254,2.989220781650853,0.0354382314784178,0.0448220247363546,11.37464841190412,6.510604146631285,3.6843620054770856,0.6088555241480182
close_only,0.03,1.0,0.05,3.386814229689832,3.0126086081472563,0.0354382314784179,0.0447041889287387,11.464175893151683,6.589386115231168,3.732852671738176,0.6152327548579557
close_only,0.03,1.0,0.08,3.397576497689244,3.024815883036532,0.0352622476578583,0.0445918509171779,11.569857411284158,6.641191464720581,3.759135369975387,0.618872238726256
close_only,0.03,1.0,0.12,3.403696838433408,3.032810220406368,0.0352126439373987,0.0445918509171779,11.615696107509484,6.667288617442958,3.77518764386384,0.6215725924703208
close_only,0.05,1.0,0.0,3.4186643650245805,3.044711930098622,0.0350366189585033,0.0448113591324701,11.732241976723492,6.664520517695509,3.8067717783707824,0.6246833641893303
close_only,0.05,1.0,0.01,3.319901414562856,2.9440456570267988,0.0352622476578585,0.0449400414343985,11.242387677017106,6.381818903875287,3.583750765228329,0.5972657187717536
close_only,0.05,1.0,0.02,3.3497928643328585,2.9761326064108857,0.0352622476578585,0.045041142483112,11.376238622848682,6.450911660890407,3.6548171711797632,0.6059377728390145
close_only,0.05,1.0,0.03,3.372746323907739,2.993167914726982,0.0352622476578583,0.045041480068443,11.467037942148552,6.4904469088462085,3.703513434215159,0.610060475189985
close_only,0.05,1.0,0.05,3.393810943964401,3.01300666506225,0.0352622476578586,0.0449236713339976,11.560161659051015,6.55919438030328,3.753868469372927,0.6154411439139329
close_only,0.05,1.0,0.08,3.402408231027564,3.0318507203843303,0.0352622476578584,0.0448113591324708,11.594367042994628,6.623443692624895,3.772469741056836,0.6204092683145825
close_only,0.05,1.0,0.12,3.408094396237172,3.032903326303858,0.0350366189585033,0.0448113591324708,11.692987490884889,6.636372088055392,3.785446919008206,0.6217539239200176
close_only,0.07,1.0,0.0,3.4187142756213795,3.0450462550821773,0.0350366189585033,0.044756305924749,11.732792157519208,6.673618807668453,3.8070711883514976,0.6247770043635403
close_only,0.07,1.0,0.01,3.323100962739968,2.9510691828969065,0.0351496117206934,0.0448849956434042,11.291429828936655,6.408230081822049,3.5906021758799342,0.5991892030456794
close_only,0.07,1.0,0.02,3.352566161395143,2.9848960305553813,0.0351496117206935,0.0449861025191741,11.424002621495042,6.479540247492774,3.660841480258304,0.6080941976140075
close_only,0.07,1.0,0.03,3.375130120814574,2.9991626330528707,0.0351496117206932,0.0449864401239606,11.513273626179863,6.512690943432949,3.708609446907088,0.6115495474201937
close_only,0.07,1.0,0.05,3.395487575412639,3.017681728214701,0.0351496117206934,0.0448686245994966,11.602857088966218,6.578709504013523,3.75692794927054,0.6166337171421625
close_only,0.07,1.0,0.08,3.403505058027008,3.033608055652519,0.0351496117206935,0.0447563059247494,11.636785163371345,6.636874681532651,3.7753284012166457,0.6209580793728406
close_only,0.07,1.0,0.12,3.4091040165460877,3.035795770715063,0.0350366189585033,0.0447563059247494,11.698916496976128,6.651936022310399,3.788663086026638,0.6225229471442406
close_only,0.1,1.0,0.0,3.4187142756213795,3.04560711865221,0.0350366189585033,0.0446448880786734,11.732792157519208,6.692100705083529,3.8070711883514976,0.6249665153284407
close_only,0.1,1.0,0.01,3.3280919591285056,2.9554231453587896,0.0351496117206934,0.0446612629574466,11.31151539318587,6.452648995434,3.6011903809590398,0.6004581800616624
close_only,0.1,1.0,0.02,3.3563193739933754,2.9885395862341144,0.0351496117206935,0.0447623935171841,11.43930648002299,6.521374465378122,3.669003423781107,0.60907264480127
close_only,0.1,1.0,0.03,3.3790178299795555,3.0028073380837133,0.0351496117206932,0.0447627312010539,11.528627963751193,6.554701440037153,3.716863764035693,0.6125300970199283
close_only,0.1,1.0,0.05,3.3973273217140063,3.019014184229184,0.0351496117206934,0.0446448880786739,11.610742826709291,6.6153375113257695,3.761199731053802,0.617012408506129
close_only,0.1,1.0,0.08,3.4049511738621634,3.0341698322776995,0.0351496117206935,0.0446448880786732,11.642856314275429,6.6552625651910535,3.7786268639498832,0.6211471449054442
close_only,0.1,1.0,0.12,3.410449415405397,3.0363569730159767,0.0350366189585033,0.0446448880786732,11.704577696688,6.670362442011891,3.7917355570697433,0.6227121952001056
close_only,0.0,0.005,0.0,3.1751061307367405,2.845264708808636,0.0494716188090206,0.040427433041886,8.400703401467592,8.595826908655722,3.877665441871617,0.7400340895646138
close_only,0.0,0.005,0.01,2.8178495635328407,2.586849573314751,0.0497733137895131,0.0410338070597857,6.865332693131728,7.560266180188456,2.819998685697906,0.6516917209635771
close_only,0.0,0.005,0.02,2.8865152652621373,2.663349901330254,0.049773313789513,0.0408887661672377,7.093505440685145,7.856117633792071,2.9696652276141675,0.677537984012242
close_only,0.0,0.005,0.03,2.9327744365031405,2.7166491172309626,0.049773313789513,0.0407306206018993,7.229796373582024,8.058916783085687,3.0612223094950712,0.6941233033511212
close_only,0.0,0.005,0.05,3.1184607134718614,2.771234451950053,0.049773313789513,0.0405793726137246,8.162225960583648,8.29907590241818,3.7327132609979534,0.7143759385806558
close_only,0.0,0.005,0.08,3.1485706129465063,2.814247187184937,0.0497733137895131,0.0408829071783398,8.262117017885261,8.374029127663988,3.809488171141126,0.7276978522710258
close_only,0.0,0.005,0.12,3.1571774372406023,2.8309353912220225,0.049795798352423,0.040427433041886,8.291850004004036,8.539348868396392,3.835435815872183,0.7345625160865767
close_only,0.005,0.005,0.0,3.2313694306695884,2.89421612787093,0.0494716188090207,0.0404352158891805,8.579071233511034,8.77110028752858,4.017844041494234,0.7572295893628889
close_only,0.005,0.005,0.01,3.0493128400157907,2.675744334005535,0.0497733137895131,0.0410415886760401,7.93311314264771,7.867404019689757,3.5602327982448703,0.6814633161699515
close_only,0.005,0.005,0.02,3.1090950877213626,2.7432151665231523,0.0497733137895131,0.040896546504723,8.12794002176043,8.134959494455606,3.706583326594546,0.7046722371446126
close_only,0.005,0.005,0.03,3.149758837040025,2.787927324703789,0.0497733137895131,0.0407384022222658,8.26015980058904,8.314010906663968,3.807974603312913,0.7189713119287655
close_only,0.005,0.005,0.05,3.185801016706632,2.8313174968870283,0.049773313789513,0.0405871554610191,8.374667154282744,8.508396374573305,3.8971539340877337,0.7348203124509103
close_only,0.005,0.005,0.08,3.208860735448616,2.866608596914892,0.0497733137895131,0.0408906875633533,8.454191752293434,8.55883723655541,3.959844351421795,0.7459609664901223
close_only,0.005,0.005,0.12,3.215235497060655,2.8812076620735128,0.0497957983524231,0.0404352158891805,8.475561719028535,8.719304128642355,3.97983900440682,0.7521874769191381
close_only,0.01,0.005,0.0,3.250577581146981,2.915832688533467,0.0494716188090207,0.0404352158891805,8.64377829207672,8.8487627498045,4.069467027065349,0.7648021927659796
close_only,0.01,0.005,0.01,3.100912906183643,2.734361403762629,0.049773313789513,0.0408893513017865,8.100235223766525,8.099781167043506,3.685551388124772,0.7011179284609335
close_only,0.01,0.005,0.02,3.150330290003106,2.795456352507073,0.049773313789513,0.0407442861046125,8.26411583848592,8.342985570529803,3.81103429579695,0.721904364854068
close_only,0.01,0.005,0.03,3.1813258961200352,2.8229304853167787,0.049773313789513,0.0407384022222658,8.364642034241655,8.438444948145644,3.889295103898447,0.7310794715211912
